Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
186,"20001, Northwest Washington, Washington",451,"3300 Fallowfield Drive, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1765,1366,2279
186,"20001, Northwest Washington, Washington",452,"3800 Dade Drive, Annandale","9/1/2019 - 9/30/2019, Every day, Daily Average",1654,1323,2066
186,"20001, Northwest Washington, Washington",453,"3700 MacGregor Court, Annandale","9/1/2019 - 9/30/2019, Every day, Daily Average",1712,1292,2267
186,"20001, Northwest Washington, Washington",454,"3400 Monarch Lane, Annandale","9/1/2019 - 9/30/2019, Every day, Daily Average",1801,1363,2379
186,"20001, Northwest Washington, Washington",455,"6000 Brook Drive, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1262,950,1675
186,"20001, Northwest Washington, Washington",456,"3300 Garland Drive, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1160,838,1605
186,"20001, Northwest Washington, Washington",457,"8100 Heatherton Lane, Vienna","9/1/2019 - 9/30/2019, Every day, Daily Average",1517,1168,1969
186,"20001, Northwest Washington, Washington",458,"4800 Eisenhower Avenue, Landmark, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1308,998,1714
186,"20001, Northwest Washington, Washington",459,"2300 Fairview Terrace, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1275,989,1643
186,"20001, Northwest Washington, Washington",460,"3400 South Utah Street, Shirlington, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",884,621,1257
186,"20001, Northwest Washington, Washington",461,"Archstone Way, Franconia","9/1/2019 - 9/30/2019, Every day, Daily Average",1461,1090,1956
186,"20001, Northwest Washington, Washington",462,"Dolley Madison Boulevard, Tysons","9/1/2019 - 9/30/2019, Every day, Daily Average",1470,1146,1884
186,"20001, Northwest Washington, Washington",463,"1900 Kennedy Drive, Tysons","9/1/2019 - 9/30/2019, Every day, Daily Average",1566,1227,1997
186,"20001, Northwest Washington, Washington",464,"2500 Buckelew Drive, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1781,1330,2384
186,"20001, Northwest Washington, Washington",465,"6100 Mc Lendon Court, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1527,1144,2036
186,"20001, Northwest Washington, Washington",466,"5500 Brookland Road, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1629,1212,2188
186,"20001, Northwest Washington, Washington",467,"Franconia-Springfield Parkway, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1536,1230,1916
186,"20001, Northwest Washington, Washington",468,"6000 Woodlake Lane, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1628,1251,2118
186,"20001, Northwest Washington, Washington",469,"3400 Austin Court, Groveton, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1577,1228,2023
186,"20001, Northwest Washington, Washington",470,"300 North Kenmore Street, Ashton Heights, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",921,672,1261
186,"20001, Northwest Washington, Washington",471,"5700 4th Street South, Glencarlyn, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",1109,822,1494
186,"20001, Northwest Washington, Washington",472,"0 8th Street South, Arlington Heights, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",591,407,857
186,"20001, Northwest Washington, Washington",473,"3700 16th Street South, Douglas Park, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",956,678,1346
186,"20001, Northwest Washington, Washington",474,"3300 Groveton Street, Groveton, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1552,1193,2018
186,"20001, Northwest Washington, Washington",475,"5000 8th Road South, Arlington Mill, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",1169,874,1562
186,"20001, Northwest Washington, Washington",476,"Four Mile Run Trail, Claremont, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",985,723,1340
186,"20001, Northwest Washington, Washington",477,"6800 Churchill Road, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1597,1237,2061
186,"20001, Northwest Washington, Washington",478,"6800 Custis Parkway, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1425,1090,1862
186,"20001, Northwest Washington, Washington",479,"2200 Shirlington Road, Nauck, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",675,474,960
186,"20001, Northwest Washington, Washington",480,"1400 South Barton Street, Columbia Heights, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",816,576,1155
186,"20001, Northwest Washington, Washington",481,"2800 South Buchanan Street, Shirlington, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",790,570,1094
186,"20001, Northwest Washington, Washington",482,"1000 Hardee Place, Seminary Hill, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1156,860,1552
186,"20001, Northwest Washington, Washington",483,"2100 Haycock Road, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1228,944,1597
186,"20001, Northwest Washington, Washington",484,"3900 Mount Vernon Avenue, Potomac West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",918,663,1269
186,"20001, Northwest Washington, Washington",485,"5500 Seminary Road, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1167,856,1589
186,"20001, Northwest Washington, Washington",486,"7600 Wood Mist Lane, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1973,1461,2663
186,"20001, Northwest Washington, Washington",487,"300 East Mount Ida Avenue, Potomac West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1124,834,1514
186,"20001, Northwest Washington, Washington",488,"1200 Key Drive, Taylor Run, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1241,906,1699
186,"20001, Northwest Washington, Washington",489,"1200 Quaker Hill Drive, Taylor Run, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1445,1049,1988
186,"20001, Northwest Washington, Washington",490,"3100 Holmes Run Road, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1385,1071,1789
186,"20001, Northwest Washington, Washington",491,"6800 Donahue Court, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1481,1149,1908
186,"20001, Northwest Washington, Washington",492,"0 East Mason Avenue, Potomac West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1190,900,1572
186,"20001, Northwest Washington, Washington",493,"3300 Rose Lane, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1625,1276,2069
186,"20001, Northwest Washington, Washington",494,"5800 Aspen Wood Court, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1065,811,1397
186,"20001, Northwest Washington, Washington",495,"2200 Emmett Drive, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1510,1170,1947
186,"20001, Northwest Washington, Washington",496,"4000 Thornton Street, Annandale","9/1/2019 - 9/30/2019, Every day, Daily Average",1634,1270,2101
186,"20001, Northwest Washington, Washington",497,"400 Commonwealth Avenue, Potomac West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1254,928,1693
186,"20001, Northwest Washington, Washington",498,"200 South Reynolds Street, Landmark, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1219,926,1604
186,"20001, Northwest Washington, Washington",499,"200 Yoakum Parkway, Landmark, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1272,945,1711
186,"20001, Northwest Washington, Washington",500,"2000 Eisenhower Avenue, Eisenhower East, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1339,1009,1775
186,"20001, Northwest Washington, Washington",501,"4900 Brenman Park Drive, Landmark, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1367,1034,1806
186,"20001, Northwest Washington, Washington",502,"800 South Payne Street, Southwest Quadrant, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1213,915,1606
186,"20001, Northwest Washington, Washington",503,"3300 Old Dominion Boulevard, North Ridge, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1001,747,1340
186,"20001, Northwest Washington, Washington",504,"1200 Mount Vernon Trail, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1364,1053,1766
186,"20001, Northwest Washington, Washington",505,"6500 Ashlawn Court, Springfield","9/1/2019 - 9/30/2019, Every day, Daily Average",1289,956,1737
186,"20001, Northwest Washington, Washington",506,"4600 Upland Drive, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1553,1146,2103
186,"20001, Northwest Washington, Washington",507,"6100 Bayliss Place, Groveton, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1538,1154,2049
186,"20001, Northwest Washington, Washington",508,"2200 Journet Drive, Dunn Loring","9/1/2019 - 9/30/2019, Every day, Daily Average",1791,1281,2503
186,"20001, Northwest Washington, Washington",509,"2900 Bridgehampton Court, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1848,1395,2447
186,"20001, Northwest Washington, Washington",510,"1900 Byrd Road, Vienna","9/1/2019 - 9/30/2019, Every day, Daily Average",1832,1423,2357
186,"20001, Northwest Washington, Washington",511,"6100 Willston Drive, Seven Corners","9/1/2019 - 9/30/2019, Every day, Daily Average",1261,952,1669
186,"20001, Northwest Washington, Washington",512,"4600 19th Road North, Waverly Hills, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",986,732,1327
186,"20001, Northwest Washington, Washington",513,"1100 South Arlington Ridge Road, Arlington Ridge, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",766,509,1150
186,"20001, Northwest Washington, Washington",514,"5200 Yorktown Boulevard, Yorktown, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",1366,1039,1795
186,"20001, Northwest Washington, Washington",515,"1400 North Taft Street, Radnor - Fort Myer Heights, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",801,571,1121
186,"20001, Northwest Washington, Washington",516,"2700 South Ives Street, Arlington Ridge, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",791,530,1178
186,"20001, Northwest Washington, Washington",517,"5000 Domain Place, Alexandria West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",861,628,1179
186,"20001, Northwest Washington, Washington",518,"4200 Vacation Lane, Donaldson Run, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",880,634,1219
186,"20001, Northwest Washington, Washington",519,"6500 Haystack Road, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1765,1382,2252
186,"20001, Northwest Washington, Washington",520,"6400 Lily Dhu Lane, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1723,1336,2220
186,"20001, Northwest Washington, Washington",521,"7300 Hooking Road, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1739,1340,2256
186,"20001, Northwest Washington, Washington",522,"3100 Juniper Lane, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1455,1127,1877
186,"20001, Northwest Washington, Washington",523,"4300 Roberts Avenue, Annandale","9/1/2019 - 9/30/2019, Every day, Daily Average",1434,1116,1842
186,"20001, Northwest Washington, Washington",524,"4500 Weyburn Drive, Annandale","9/1/2019 - 9/30/2019, Every day, Daily Average",1501,1135,1984
186,"20001, Northwest Washington, Washington",525,"5400 Backlick Woods Court, Springfield","9/1/2019 - 9/30/2019, Every day, Daily Average",1393,1041,1863
186,"20001, Northwest Washington, Washington",526,"4100 Wilson Boulevard, Virginia Square, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",1134,873,1472
186,"20001, Northwest Washington, Washington",527,"6200 Blossom Lane, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1628,1220,2171
186,"20001, Northwest Washington, Washington",528,"5400 Summer Leaf Lane, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1130,830,1537
186,"20001, Northwest Washington, Washington",529,"5800 Oakview Gardens Drive, Bailey's Crossroads","9/1/2019 - 9/30/2019, Every day, Daily Average",1322,967,1805
186,"20001, Northwest Washington, Washington",530,"6900 Trillium Lane, West Springfield","9/1/2019 - 9/30/2019, Every day, Daily Average",1647,1273,2129
186,"20001, Northwest Washington, Washington",531,"Morven Lane, Alexandria West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",825,602,1130
186,"20001, Northwest Washington, Washington",532,"6700 Rosewood Street, Annandale","9/1/2019 - 9/30/2019, Every day, Daily Average",1699,1281,2251
186,"20001, Northwest Washington, Washington",533,"1600 Davidson Road, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1687,1271,2237
186,"20001, Northwest Washington, Washington",534,"2100 Greenwich Street, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1275,991,1639
186,"20001, Northwest Washington, Washington",535,"7600 Long Pine Drive, Springfield","9/1/2019 - 9/30/2019, Every day, Daily Average",1642,1124,2398
186,"20001, Northwest Washington, Washington",536,"6000 Backlick Road, Springfield","9/1/2019 - 9/30/2019, Every day, Daily Average",1273,944,1716
186,"20001, Northwest Washington, Washington",537,"1000 Colonial Farm Road, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1195,938,1521
186,"20001, Northwest Washington, Washington",538,"300 South Whiting Street, Landmark, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1114,828,1498
186,"20001, Northwest Washington, Washington",539,"8600 Westwood Center Drive, Vienna","9/1/2019 - 9/30/2019, Every day, Daily Average",1701,1340,2158
186,"20001, Northwest Washington, Washington",540,"6600 Hazel Lane, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1636,1267,2111
186,"20001, Northwest Washington, Washington",541,"2500 Washington Boulevard, Lyon Park, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",818,590,1133
186,"20001, Northwest Washington, Washington",542,"1300 Potomac School Road, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1373,1055,1786
